customer_id,name,email,age,gender,city,phone,registration_date,customer_segment_x,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_score,customer_segment_y
CUST_000001,Khách hàng 1,customer1@email.com,21,Nữ,Cần Thơ,0324036547,2024-06-06,Gen Z,1.0,11.0,114619948.0,5,3,5,13.0,Champions
CUST_000002,Khách hàng 2,customer2@email.com,21,Nữ,Vũng Tàu,0864989819,2025-10-07,Gen Z,3.0,7.0,36463521.0,5,1,1,7.0,At Risk
CUST_000003,Khách hàng 3,customer3@email.com,47,Nữ,Đà Nẵng,0380492888,2025-06-14,Gen X,2.0,8.0,84904000.0,5,2,4,11.0,Loyal Customers
CUST_000004,Khách hàng 4,customer4@email.com,35,Nữ,Biên Hòa,0525097662,2024-11-09,Gen X,0.0,7.0,32384223.0,5,1,1,7.0,At Risk
CUST_000005,Khách hàng 5,customer5@email.com,25,Nữ,Biên Hòa,0185539500,2024-09-06,Millennials,4.0,13.0,64476010.0,5,4,3,12.0,Champions
CUST_000006,Khách hàng 6,customer6@email.com,45,Nam,Hà Nội,0577970941,2024-03-28,Gen X,1.0,11.0,84819915.0,5,3,4,12.0,Champions
CUST_000007,Khách hàng 7,customer7@email.com,55,Nữ,Biên Hòa,0900288722,2024-06-04,Baby Boomers,6.0,4.0,33549861.0,5,1,1,7.0,At Risk
CUST_000008,Khách hàng 8,customer8@email.com,55,Nữ,Nha Trang,0278376540,2025-01-19,Baby Boomers,5.0,12.0,159986564.0,5,4,5,14.0,Champions
CUST_000009,Khách hàng 9,customer9@email.com,46,Nữ,Vũng Tàu,0956631409,2025-09-04,Gen X,0.0,14.0,64403932.0,5,5,3,13.0,Champions
CUST_000010,Khách hàng 10,customer10@email.com,18,Nữ,Huế,0428346002,2024-10-15,Gen Z,0.0,5.0,60331000.0,5,1,2,8.0,Potential Loyalists
CUST_000011,Khách hàng 11,customer11@email.com,56,Nam,Hà Nội,0239573164,2024-11-04,Baby Boomers,12.0,8.0,16476212.0,4,2,1,7.0,At Risk
